question,answer,sources
"What is RAG?","RAG stands for Retrieval-Augmented Generation. It's a technique that combines information retrieval with text generation to produce more accurate and contextual responses by grounding them in retrieved documents.","https://docs.example.com/rag-overview, Chapter 2: RAG Fundamentals"
"How does chunking work?","Chunking breaks down large documents into smaller, manageable pieces that can be efficiently stored and retrieved. Common methods include fixed-size chunking, sentence-based chunking, and semantic chunking that preserves context boundaries.","RAG Implementation Guide p.45-52"
"What are embeddings?","Embeddings are numerical vector representations of text that capture semantic meaning. Similar concepts have similar embeddings, enabling semantic search and retrieval. Common models include OpenAI's text-embedding-ada-002 and open-source alternatives like sentence-transformers.","Vector Database Handbook, Section 3.2"
"What is the difference between keyword and semantic search?","Keyword search matches exact terms or token overlaps (like BM25), while semantic search uses embeddings to find conceptually similar content even if exact words don't match. Modern RAG systems often combine both approaches for better recall.","Best Practices in Information Retrieval, 2024"
"How do you evaluate RAG systems?","RAG evaluation uses metrics across multiple dimensions: retrieval quality (context relevance, precision, recall), generation quality (faithfulness, answer relevance), and end-to-end performance. Common frameworks include RAGAS, TruLens, and custom LLM-as-a-judge approaches.","RAG Evaluation Framework Documentation"
"What is context window?","The context window is the maximum number of tokens a language model can process at once, including both input prompt and generated output. Models like GPT-4 have 8K-128K token windows, while Claude 3 supports up to 200K tokens.","LLM Architecture Guide, Chapter 7"
"What is prompt engineering?","Prompt engineering is the practice of designing effective instructions and context for language models to produce desired outputs. Techniques include few-shot examples, chain-of-thought reasoning, role-based prompting, and structured output formatting.","Prompt Engineering Best Practices, OpenAI Cookbook"
"How does vector similarity search work?","Vector similarity search finds the most similar embeddings to a query vector using distance metrics like cosine similarity, dot product, or Euclidean distance. Vector databases use indexing strategies like HNSW or IVF to make this efficient at scale.","Vector Search Algorithms Paper, 2023"
"What are the common RAG failure modes?","Common RAG failures include: retrieving irrelevant chunks, missing critical context, hallucinating despite retrieved context, poor chunk boundaries that break semantic units, and retrieval-generation misalignment where the model ignores good context.","RAG Debugging Handbook, Section 5"
"What is the role of metadata in RAG?","Metadata (document source, date, section, author) enables filtered retrieval, improves relevance by providing context, supports citation generation, and allows hybrid search combining semantic similarity with metadata constraints.","Advanced RAG Techniques Whitepaper"
